letters,times_seen,distinct_words,words_that_give_it
RET,1,1,arrests (1)
REVERE,1,1,admire (1)
RHEA,1,1,bird not flying (1)
RICES,1,1,cereal crops (1)
RIE,1,1,arrived (1)
RIGHT,1,1,just (1)
RIGHTON,1,1,trendy (1)
RIMS,1,1,borders (1)
RN,1,1,force (1)
ROBE,1,1,dress (1)
ROI/NI,1,1,parts of ireland (1)
ROLES,1,1,functions (1)
ROLL,1,1,register (1)
ROLY,1,1,pudding (1)
ROOD,1,1,cross (1)
ROOF,1,1,building’s top (1)
ROUT,1,1,big defeat (1)
ROUTINES,1,1,acts on stage (1)
ROW,1,1,argument (1)
ROWS,1,1,arguments (1)
RUB,1,1,smooth (1)
RUM,1,1,funny (1)
RUNG,1,1,place on ladder (1)
RY,1,1,rapidly (1)
SA,1,1,south american (1)
SAC,1,1,bag (1)
SAKE,1,1,benefit (1)
SAP,1,1,trench (1)
SAS,1,1,elite fighting force (1)
SAVE,1,1,other than (1)
SAW,1,1,saying (1)
SC,1,1,namely (1)
SCAMPERS,1,1,skips about (1)
SCAR,1,1,marking (1)
SCION,1,1,family’s heir (1)
SEE,1,1,spot (1)
SELECTOR,1,1,person choosing (1)
SERVICE,1,1,employment (1)
SET,1,1,group (1)
SETTER,1,1,compiler (1)
SEVEN,1,1,7 (1)
SEW,1,1,stitch (1)
SHANT,1,1,will not (1)
SHY,1,1,toss (1)
SI,1,1,inside (1)
SIC,1,1,like that (1)
SIDE,1,1,team (1)
SIGHT,1,1,vision (1)
SIS,1,1,sibling (1)
SIT,1,1,instruction to boxer (1)
SITE,1,1,its location (1)
SITED,1,1,established in position (1)
SIX,1,1,soccer team (1)
SKAT,1,1,card game (1)
SLAY,1,1,kill (1)
SLEEVE,1,1,tube (1)
SLING,1,1,"stronger, mixed drink (1)"
SM,1,1,kinky sex (1)
SMELT,1,1,fish (1)
SOFTEN,1,1,temper (1)
SOLE,1,1,only (1)
SOME,1,1,a few (1)
SON,1,1,lad (1)
SONG,1,1,lay (1)
SOON,1,1,before long (1)
SORE,1,1,desperate (1)
SOT,1,1,drunk (1)
SP,1,1,odds (1)
SPA,1,1,cheltenham (1)
SPAR,1,1,box (1)
SPARK,1,1,scrap (1)
SPL,1,1,supply (1)
STAID,1,1,serious (1)
STAIR,1,1,segment of flight (1)
STAND,1,1,bears suffer (1)
START,1,1,to launch (1)
STERNER,1,1,harder (1)
STICK,1,1,censure (1)
STORY,1,1,tale (1)
STRAIGHT,1,1,continuous (1)
STRAT,1,1,guitar (1)
STRUTS,1,1,swaggers (1)
STY,1,1,pig-farmer (1)
SUB,1,1,deputy (1)
SUNUP,1,1,dawn (1)
SURER,1,1,less hesitant (1)
SURGE,1,1,sudden upswing (1)
SWAN,1,1,bird (1)
SWISH,1,1,fancy (1)
SWISS,1,1,national (1)
TAB,1,1,cigarette (1)
TALK,1,1,presentation (1)
TALL,1,1,elevated (1)
TAN,1,1,beat (1)
TANK,1,1,fail (1)
TAT,1,1,rubbish (1)
TE,1,1,empty temple (1)
TEAM,1,1,crew (1)
TEE,1,1,peg (1)
TEMP,1,1,model (1)
TENDER,1,1,offer (1)
TESS ELLA,1,1,two girls (1)
TEST,1,1,trial (1)
TETHER,1,1,tie (1)
THEFT,1,1,crime (1)
THIN,1,1,fine (1)
THORN,1,1,germanic character (1)
THRONG,1,1,hem in (1)
THUR,1,1,day (1)
THUS,1,1,thus (1)
TIE,1,1,restrict (1)
TILE,1,1,slab (1)
TIP,1,1,extra payment (1)
TIRE,1,1,flag (1)
TOLLER,1,1,bell-ringer (1)
TON,1,1,100 mph (1)
TOP,1,1,cap (1)
TOTO,1,1,visitor to oz (1)
TRAIN,1,1,retinue (1)
TRAM,1,1,vehicle (1)
TRANCE,1,1,electronic music (1)
TRAP,1,1,gin (1)
TRAWLS,1,1,searches (1)
TREBLING,1,1,growing substantially (1)
TRIAL,1,1,judicial examination (1)
TRICK,1,1,con (1)
TRIKE,1,1,modest conveyance (1)
TRITE,1,1,stock (1)
TROLLOP,1,1,floozy (1)
TROPHY,1,1,prize (1)
TROUGH,1,1,depression (1)
TUNA,1,1,fish (1)
TUP,1,1,mate with (1)
TURN IN,1,1,go to bed (1)
TUT,1,1,express impatience (1)
TV,1,1,the tube (1)
TWIST,1,1,bread roll (1)
TWO,1,1,as well (1)
UD,1,1,studio (1)
UGH,1,1,how unpleasant (1)
UL,1,1,universal (1)
UND,1,1,conjunction for germans (1)
UNION,1,1,marriage (1)
UNWED,1,1,25 (1)
UPPER,1,1,drug (1)
UR,1,1,jury (1)
URAL,1,1,rivers (1)
URE,1,1,river (1)
URGE,1,1,pressure (1)
URINE,1,1,liquid waste (1)
URN,1,1,vessel (1)
USED,1,1,second-hand (1)
UTTER,1,1,say (1)
VAL,1,1,valerie (1)
VAN,1,1,vehicle (1)
VAR,1,1,match official (1)
VESTA,1,1,match (1)
VILE,1,1,despicable (1)
VILLA,1,1,football club (1)
VIOLIN,1,1,fiddle (1)
VIVA,1,1,1960s car model (1)
VOL,1,1,volunteer (1)
WALL,1,1,barrier (1)
WE,1,1,plural pronoun (1)
WELL,1,1,fully (1)
WETS,1,1,makes moist (1)
WHE,1,1,although (1)
WHEE,1,1,i’m enjoying this (1)
WHO,1,1,tv doctor (1)
WORCESTER,1,1,midland city (1)
YELLING,1,1,shouting (1)
YG,1,1,youth groups (1)
YORKS,1,1,dismisses (1)
Z,1,1,variable (1)
